candidate,feature_group,ratio_variant,clip_name,revenue_weight,ratio_weight,Revenue_mae,Revenue_mape,COGS_mae,COGS_mape,avg_mae,avg_mape,weighted_avg_mape,scenario_weight_total,scenarios_covered,folds_evaluated
ratio_no_web_conservative_mid_rw1.35_cw1.10,no_web,conservative,mid,1.35,1.1,163471.02706973886,7.060715753689607,196707.73094930715,8.780696828315342,180089.37900952302,7.920706291002475,9.0805643900243,1.0,4,8
ratio_no_web_conservative_business_rw1.15_cw1.05,no_web,conservative,business,1.15,1.05,168310.4860330113,7.166589489156932,191598.80602891516,8.565837372427115,179954.64603096322,7.866213430792024,9.085272936031776,1.0,4,8
ratio_no_web_conservative_wide_rw1.15_cw1.05,no_web,conservative,wide,1.15,1.05,168310.4860330113,7.166589489156932,191598.80602891516,8.565837372427115,179954.64603096322,7.866213430792024,9.085272936031776,1.0,4,8
ratio_no_web_conservative_mid_rw1.35_cw1.05,no_web,conservative,mid,1.35,1.05,163471.02706973886,7.060715753689607,197485.57283368678,8.800911570882143,180478.29995171283,7.930813662285875,9.097121370517552,1.0,4,8
ratio_no_web_conservative_business_rw1.15_cw1.00,no_web,conservative,business,1.15,1.0,168310.4860330113,7.166589489156932,191803.85128482015,8.572015813114417,180057.16865891573,7.8693026511356745,9.099704194693828,1.0,4,8
ratio_no_web_conservative_wide_rw1.15_cw1.00,no_web,conservative,wide,1.15,1.0,168310.4860330113,7.166589489156932,191803.85128482015,8.572015813114417,180057.16865891573,7.8693026511356745,9.099704194693828,1.0,4,8
ratio_all_conservative_business_rw1.45_cw1.30,all,conservative,business,1.45,1.3,182011.38288742653,7.326562314771538,210164.66319462916,9.12917720290316,196088.02304102783,8.227869758837349,9.103033247502035,1.0,4,8
ratio_all_conservative_wide_rw1.45_cw1.30,all,conservative,wide,1.45,1.3,182011.38288742653,7.326562314771538,210164.66319462916,9.12917720290316,196088.02304102783,8.227869758837349,9.103033247502035,1.0,4,8
ratio_no_web_conservative_mid_rw1.15_cw1.30,no_web,conservative,mid,1.15,1.3,168310.4860330113,7.166589489156932,195866.01129405532,8.713159113297287,182088.2486635333,7.93987430122711,9.114422640107145,1.0,4,8
ratio_no_web_conservative_mid_rw1.35_cw1.00,no_web,conservative,mid,1.35,1.0,163471.02706973886,7.060715753689607,198304.3189053671,8.822433309086854,180887.67298755297,7.94157453138823,9.114538422130764,1.0,4,8
ratio_no_web_conservative_business_rw1.15_cw0.95,no_web,conservative,business,1.15,0.95,168310.4860330113,7.166589489156932,192099.4331804639,8.581171945705563,180204.9596067376,7.8738807174312475,9.115037149486747,1.0,4,8
ratio_no_web_conservative_wide_rw1.15_cw0.95,no_web,conservative,wide,1.15,0.95,168310.4860330113,7.166589489156932,192099.4331804639,8.581171945705563,180204.9596067376,7.8738807174312475,9.115037149486747,1.0,4,8
ratio_all_conservative_business_rw1.45_cw1.25,all,conservative,business,1.45,1.25,182011.38288742653,7.326562314771538,211119.49354261727,9.154415724925682,196565.43821502192,8.24048901984861,9.118955692034074,1.0,4,8
ratio_all_conservative_wide_rw1.45_cw1.25,all,conservative,wide,1.45,1.25,182011.38288742653,7.326562314771538,211119.49354261727,9.154415724925682,196565.43821502192,8.24048901984861,9.118955692034074,1.0,4,8
